Base Unit of Measure,Calendar Month,Calendar Week,Country,Currency_GR value pstg. date,Currency_Net order value,Date on which the purchasing document was created,Evaluated Receipt Settlement_ERS,Final Invoice Indicator,Fiscal year,Fiscal year/period,Fiscal year variant,Goods Receipt Indicator,GR-Based Invoice Verification,Inbound Delivery Date,InfoProvider,Invoice Receipt Indicator,Item Category in Purchasing Document,Item number of purchasing document,Item of Principal Agreement,Local Currency,Material Group,Meeting ID,Name of requisitioner/requester,Number of Principal Purchase Agreement,Order unit,Planned delivery date of document schedule line,Planned Delivery Month,Plant,Plant Material,PO Approver ID,PO Item,PO Release date,PO Release Indicator,PO Requisitioner Personnel Number,Posting Date in the Document,Product Description,Puchasing document category,Purchase Document Date,Purchase Order Currency,Purchasing document number,Purchasing Document Type,Purchasing Group,Purchasing Organization,Request Transaction Sequence Number,Schedule line date,Schedule line number,Statistics date,Status of purchasing document,Trial Alias,Unit Goods Receipt Quantity in Base Unit,Unit Invoiced Quantity in Base Unit,Unit Open Quantity,Unit Order Quantity in Base Unit,Unit Order quantity,Unit PO quantity,Unit Quantity Received
EA,1,2,Madagascar,22969.82,2963.61,2025-01-08,Yes,I,Center,Thank,Box,No,Treat,2025-01-16,918658838,When,Argue,57,Decade,EUR,From,134834282,Brandon Simpson,166794765,EA,2025-02-07,Pressure,US01,MAT-52579,EMP915740,31,2025-01-07,Released,537909568,2025-01-08,Cell Tablet,Blood,2025-01-08,GBP,6875938952,FO,PG94,EU01,957990335,2025-01-16,3,2025-08-05,Open,CT-6551-IBW,71,54,81,111,196,111,107
EA,11,47,Seychelles,9813.47,21740.97,2024-11-18,Yes,Into,Computer,Even,Meet,No,Size,2024-12-09,837650159,Part,Provide,35,Try,EUR,Half,538115444,Matthew Johnson,597609491,EA,2025-08-25,Kitchen,AP03,MAT-86168,EMP833315,44,2024-11-17,Pending,544100014,2024-11-18,Run Solution,Two,2024-11-18,USD,3777101068,FO,PG52,NA01,537165350,2024-12-09,3,2025-02-23,Open,CT-6109-EDZ,185,138,150,199,439,199,198
EA,3,12,Barbados,40582.39,11021.14,2025-03-21,No,Those,Although,Challenge,Community,Yes,Direction,2025-04-01,321989503,Society,Road,46,Western,JPY,Husband,571103249,Christopher Morgan,997124964,EA,2025-12-16,Usually,AP03,MAT-37872,EMP957920,52,2025-03-20,Released,863728612,2025-03-21,Effort Capsule,Until,2025-03-21,GBP,5952858928,NB,PG44,NA01,533298872,2025-04-01,5,2024-07-29,Open,CT-1816-RCG,96,63,152,171,466,171,170
EA,5,22,Cuba,26773.14,8779.57,2025-05-26,Yes,Woman,Activity,Stage,His,Yes,Language,2025-06-12,373216633,Area,Although,27,Successful,USD,Spring,326498019,Angela Mason,327506058,EA,2024-01-25,Onto,EU02,MAT-56157,EMP202669,49,2025-05-25,Pending,673245369,2025-05-26,Contain Solution,Together,2025-05-26,EUR,5617086968,NB,PG64,NA01,551542541,2025-06-12,2,2026-06-17,Open,CT-7487-KNX,49,51,3,89,458,89,85
EA,7,30,Albania,49496.56,27008.45,2025-07-23,Yes,Kid,It,Less,Threat,No,Season,2025-08-22,341141979,Always,Another,89,Reflect,GBP,Into,608422765,Devin Smith,415220289,EA,2024-07-08,Film,AP03,MAT-96156,EMP655263,22,2025-07-22,Released,191260686,2025-07-23,Compare Tablet,Opportunity,2025-07-23,USD,2352712800,FO,PG18,NA01,425193558,2025-08-22,3,2026-06-04,Closed,CT-9781-BYC,184,278,48,295,367,295,293
EA,12,1,Mozambique,16047.28,20741.01,2024-12-31,Yes,Exactly,Minute,Do,Entire,Yes,You,2025-01-29,742740751,Explain,Attack,19,Worry,GBP,Person,698458486,Allen Schwartz,880505332,EA,2025-02-05,Teach,EU02,MAT-82398,EMP842031,81,2024-12-30,Released,945364195,2024-12-31,Range Solution,Full,2024-12-31,GBP,3425898391,FO,PG84,NA01,475291909,2025-01-29,1,2025-03-22,Open,CT-8970-PLO,8,5,14,32,148,32,31
EA,10,41,Belgium,19064.49,21075.88,2025-10-06,No,Table,Probably,Five,Region,No,Safe,2025-10-31,532575823,Allow,Two,72,Set,GBP,Bag,206444968,Anthony Jacobson,706107858,EA,2026-06-05,Really,LAT04,MAT-66257,EMP843780,14,2025-10-05,Pending,846221867,2025-10-06,Hundred Solution,Myself,2025-10-06,GBP,3061867487,NB,PG73,NA01,993957259,2025-10-31,2,2025-02-27,Closed,CT-7484-BIH,62,98,43,119,122,119,118
EA,1,1,Libyan Arab Jamahiriya,45240.1,10904.73,2025-01-05,Yes,Professor,Degree,West,Forget,No,This,2025-01-15,362598287,Simple,Board,53,Source,JPY,Fund,152172571,Stephanie Greer,529242209,EA,2024-04-12,Real,US01,MAT-84153,EMP114302,15,2025-01-04,Released,757211143,2025-01-05,Floor Patch,Candidate,2025-01-05,USD,3090285528,FO,PG59,EU01,158379990,2025-01-15,3,2026-02-06,Open,CT-3472-PNG,217,178,70,233,72,233,229
EA,10,43,Guyana,12674.32,22465.17,2025-10-25,Yes,Fight,Can,Administration,Although,No,Across,2025-11-20,655822050,Price,Resource,49,Certain,EUR,Age,701701329,David Gutierrez,923503403,EA,2024-05-17,Firm,AP03,MAT-26378,EMP424254,48,2025-10-24,Pending,684881916,2025-10-25,Shake Tablet,Among,2025-10-25,EUR,2892010930,NB,PG66,NA01,158933876,2025-11-20,4,2024-08-04,Open,CT-5806-JWO,99,161,125,166,223,166,165
EA,1,5,Barbados,7096.4,27167.33,2025-01-27,Yes,Career,Born,Exist,Rest,No,Focus,2025-02-11,323593714,Dream,Nearly,73,Nation,USD,Speech,968582376,Angela Floyd,507188899,EA,2024-01-11,Increase,LAT04,MAT-49508,EMP605524,35,2025-01-26,Pending,867644207,2025-01-27,Able Patch,Class,2025-01-27,USD,9485975829,NB,PG84,NA01,692914535,2025-02-11,5,2024-10-29,Closed,CT-6592-IDY,4,43,1,54,332,54,49
EA,5,20,Anguilla,24969.62,22385.43,2025-05-13,Yes,Career,Staff,This,Road,Yes,Begin,2025-06-12,481892002,Husband,Nature,57,Return,GBP,Dinner,113516389,Cynthia Williams,409393763,EA,2025-06-04,Raise,US01,MAT-74459,EMP113602,39,2025-05-12,Released,109553198,2025-05-13,Memory Solution,Individual,2025-05-13,USD,6820947025,FO,PG26,NA01,719603006,2025-06-12,4,2024-09-26,Open,CT-8015-GMQ,2,15,26,71,102,71,70
EA,1,2,New Caledonia,11535.32,28679.61,2025-01-08,Yes,Wear,Theory,Loss,Party,Yes,Create,2025-02-03,391175292,Newspaper,Space,85,Parent,GBP,Reveal,965199863,Matthew Liu,853700981,EA,2024-04-16,Interesting,AP03,MAT-96156,EMP241241,51,2025-01-07,Released,596300522,2025-01-08,Compare Tablet,Dog,2025-01-08,EUR,6501980073,NB,PG77,EU01,968317482,2025-02-03,3,2025-02-20,Closed,CT-9781-BYC,46,193,240,296,141,296,294
EA,10,42,Liechtenstein,38993.56,18454.11,2025-10-16,No,Movie,Especially,Away,Full,No,Recently,2025-11-01,635466830,Full,Call,80,Unit,USD,Gas,602667693,Heather Smith,598645296,EA,2025-08-03,Upon,AP03,MAT-85304,EMP614727,71,2025-10-15,Pending,979070406,2025-10-16,Artist Solution,Must,2025-10-16,EUR,2494650395,NB,PG55,EU01,803796439,2025-11-01,2,2024-09-06,Open,CT-8970-PLO,7,9,8,13,250,13,11
EA,8,32,Cyprus,36728.14,38424.99,2025-08-09,Yes,Sure,Approach,Drug,Scene,Yes,Often,2025-08-31,411522057,Accept,House,36,Ask,USD,Situation,491623601,Aaron Ruiz,704847114,EA,2025-12-13,Policy,EU02,MAT-56157,EMP565033,75,2025-08-08,Pending,545496368,2025-08-09,Contain Solution,Happy,2025-08-09,USD,8005340958,NB,PG31,NA01,188654831,2025-08-31,2,2026-05-30,Open,CT-7487-KNX,107,265,176,293,194,293,293
EA,4,16,United States of America,13503.55,37250.35,2025-04-20,Yes,Support,Four,Maintain,Player,No,During,2025-05-11,547644793,Mr,Add,45,Anyone,USD,Particularly,505410134,Sabrina Jenkins,412046711,EA,2026-08-13,Writer,AP03,MAT-37872,EMP593459,10,2025-04-19,Released,754353059,2025-04-20,Effort Capsule,Individual,2025-04-20,GBP,5003721045,FO,PG64,NA01,464561297,2025-05-11,5,2025-04-26,Open,CT-1816-RCG,65,179,149,249,436,249,246
EA,11,45,Marshall Islands,24059.91,42057.99,2025-11-03,Yes,Book,Design,Meeting,Agreement,Yes,Hospital,2025-11-20,579967975,Per,Near,59,Very,JPY,Mother,214175113,Cynthia Harris,913790660,EA,2025-05-03,Hot,US01,MAT-74459,EMP478828,11,2025-11-02,Pending,795591852,2025-11-03,Memory Solution,Gun,2025-11-03,GBP,9207476461,NB,PG38,NA01,884684579,2025-11-20,2,2025-05-02,Closed,CT-8015-GMQ,95,64,121,214,358,214,212
EA,3,12,Libyan Arab Jamahiriya,17084.82,23811.19,2025-03-21,Yes,Nation,So,Perform,Central,No,Instead,2025-03-28,778940658,Million,Bad,15,Tough,EUR,Seven,826633763,Kayla Ray,458356914,EA,2024-11-22,Whose,LAT04,MAT-45907,EMP926084,82,2025-03-20,Released,356143134,2025-03-21,Speech Patch,Mean,2025-03-21,GBP,1741445368,NB,PG28,NA01,477337628,2025-03-28,3,2025-08-21,Closed,CT-3472-PNG,159,159,113,160,497,160,159
EA,9,39,Belize,8572.05,34368.03,2025-09-28,No,Final,Ten,Consider,Ask,Yes,Foreign,2025-10-07,785466640,Son,Star,41,Technology,EUR,Level,580430399,Deanna Hall,575424163,EA,2024-08-20,Strategy,LAT04,MAT-82814,EMP374490,11,2025-09-27,Pending,474952922,2025-09-28,Reduce Solution,Institution,2025-09-28,USD,1447612365,FO,PG27,EU01,966740550,2025-10-07,5,2026-03-12,Open,CT-3395-UCM,4,20,63,65,21,65,64
EA,2,6,Nicaragua,42199.75,4756.21,2025-02-06,No,Song,Color,Close,Discover,Yes,Book,2025-02-26,482639172,Oil,Guess,90,Paper,EUR,Bit,744618620,Larry Clarke MD,114187447,EA,2024-06-19,Each,AP03,MAT-46171,EMP869491,39,2025-02-05,Pending,187257687,2025-02-06,Though Solution,Discover,2025-02-06,GBP,8444871175,NB,PG34,NA01,197205224,2025-02-26,2,2024-08-09,Closed,CT-3636-AVP,19,25,8,131,287,131,128
EA,2,7,Anguilla,41768.6,43610.88,2025-02-10,Yes,Large,International,Activity,Century,No,Enjoy,2025-03-03,131235411,Southern,Radio,70,Such,GBP,Pm,446855201,John Meza,138215787,EA,2026-09-23,A,US01,MAT-74459,EMP431040,14,2025-02-09,Pending,314496364,2025-02-10,Memory Solution,Edge,2025-02-10,USD,3612009940,FO,PG47,EU01,298449653,2025-03-03,1,2025-05-21,Open,CT-8015-GMQ,49,45,178,196,363,196,191
EA,5,21,Ecuador,19984.99,44736.22,2025-05-23,Yes,Sit,Style,Third,Lot,Yes,Plan,2025-06-18,850925275,Order,Owner,58,Model,JPY,Nor,220519687,Karen Carter,197122402,EA,2023-11-17,Effect,EU02,MAT-40089,EMP592654,31,2025-05-22,Released,117028401,2025-05-23,Pull Patch,Garden,2025-05-23,USD,8432522862,NB,PG77,NA01,669309937,2025-06-18,2,2024-10-07,Open,CT-4229-AWU,2,63,56,97,137,97,94
EA,5,19,Libyan Arab Jamahiriya,25655.55,3972.76,2025-05-08,Yes,Interview,Type,Serve,Into,Yes,Operation,2025-06-01,175114260,Rate,Leave,83,Will,JPY,Would,406495378,Daniel Lyons,385351248,EA,2026-11-01,Admit,US01,MAT-84153,EMP197093,25,2025-05-07,Released,518430496,2025-05-08,Floor Patch,Head,2025-05-08,GBP,6407394843,FO,PG77,NA01,266092571,2025-06-01,2,2024-09-09,Open,CT-3472-PNG,125,68,25,171,452,171,171
EA,12,49,Anguilla,31199.6,16806.84,2024-12-03,No,Method,Marriage,Box,Hospital,No,Special,2024-12-30,818605314,If,Play,57,Majority,USD,Memory,649513834,Russell Bond,232578507,EA,2024-07-02,Data,US01,MAT-74459,EMP280432,80,2024-12-02,Pending,627570134,2024-12-03,Memory Solution,Book,2024-12-03,GBP,2219457457,FO,PG51,EU01,112425246,2024-12-30,3,2024-12-10,Closed,CT-8015-GMQ,158,198,206,227,16,227,226
EA,6,26,Moldova,36880.11,28280.05,2025-06-23,No,Various,Head,Short,Tonight,Yes,Table,2025-07-20,795033207,Happen,Space,23,Close,USD,Travel,781851538,Samantha Mccullough,925772727,EA,2025-10-27,Per,EU02,MAT-31615,EMP623106,15,2025-06-22,Released,788975346,2025-06-23,Trouble Capsule,Town,2025-06-23,GBP,9829929431,FO,PG78,NA01,857213901,2025-07-20,5,2025-04-29,Open,CT-9781-BYC,204,192,62,225,124,225,222
EA,3,9,Guyana,33178.53,8000.24,2025-03-02,No,Among,Cover,Each,Really,Yes,Forget,2025-03-10,921790437,Clear,Task,10,Employee,USD,Official,495338380,Diane Pacheco,857060208,EA,2026-05-31,Everything,US01,MAT-78401,EMP390652,20,2025-03-01,Released,753723191,2025-03-02,Expect Tablet,Near,2025-03-02,GBP,6652530821,NB,PG99,NA01,169304517,2025-03-10,5,2025-09-29,Closed,CT-1696-SCY,232,250,198,271,283,271,267
EA,7,27,Heard Island and McDonald Islands,11673.98,14016.71,2025-07-01,Yes,Morning,Successful,Give,Over,Yes,Instead,2025-07-11,200386271,Apply,Fear,75,Seek,EUR,Past,712772961,Joanna Evans,342035194,EA,2026-03-24,Question,EU02,MAT-74247,EMP919037,74,2025-06-30,Released,632540030,2025-07-01,Great Patch,Not,2025-07-01,EUR,4964431691,FO,PG18,EU01,353554470,2025-07-11,2,2026-01-04,Open,CT-7484-BIH,37,64,6,115,464,115,111
EA,11,48,Turkey,49868.74,34731.53,2024-11-28,Yes,Reach,Red,Forget,Enough,No,The,2024-12-20,492100162,Daughter,Process,83,Against,EUR,Actually,602792521,Billy Sellers,462881797,EA,2025-07-28,Prove,LAT04,MAT-16078,EMP606343,10,2024-11-27,Released,138565811,2024-11-28,Stock Patch,Trouble,2024-11-28,USD,1104767240,FO,PG70,EU01,145179193,2024-12-20,2,2023-11-13,Open,CT-9831-IEW,22,164,194,204,223,204,201
EA,4,17,Guinea-Bissau,8434.85,11359.35,2025-04-25,No,Himself,There,Professional,But,Yes,Science,2025-05-15,767521922,Girl,Range,55,Organization,EUR,Skill,349806588,Jessica Banks,594226090,EA,2024-07-18,Degree,EU02,MAT-97442,EMP472674,74,2025-04-24,Released,381974788,2025-04-25,Common Patch,Follow,2025-04-25,USD,1613541365,FO,PG69,EU01,500954307,2025-05-15,3,2023-12-05,Closed,CT-2004-PSX,39,112,103,218,134,218,218
EA,10,43,Hungary,49933.0,37119.68,2025-10-25,No,Exactly,Statement,Like,Defense,No,Magazine,2025-11-05,116423552,Voice,Hour,60,Social,USD,Economy,173587091,Lauren Nichols,613223484,EA,2026-04-22,Environment,US01,MAT-22108,EMP433357,90,2025-10-24,Pending,251153136,2025-10-25,Win Injection,Hope,2025-10-25,GBP,6566381306,NB,PG76,NA01,389973522,2025-11-05,2,2024-12-28,Closed,CT-6910-RDE,231,40,201,239,59,239,239
EA,6,26,Guam,37542.31,17434.05,2025-06-29,No,Pull,Leg,Family,Figure,No,Officer,2025-07-29,845459584,Analysis,Apply,84,Manager,GBP,Also,219510790,Maria White,489517411,EA,2025-08-28,Article,EU02,MAT-14039,EMP412712,89,2025-06-28,Pending,469071636,2025-06-29,Should Tablet,Travel,2025-06-29,EUR,3073689615,FO,PG57,NA01,572888252,2025-07-29,2,2024-03-10,Closed,CT-6109-EDZ,52,44,264,284,380,284,280
EA,4,16,Azerbaijan,17367.57,28250.78,2025-04-15,Yes,Those,East,Property,Paper,No,Marriage,2025-05-05,255678224,Morning,Congress,90,Couple,JPY,Community,147713213,Hannah Graves,506295059,EA,2025-09-12,Series,LAT04,MAT-22610,EMP930394,47,2025-04-14,Released,484349602,2025-04-15,Us Solution,If,2025-04-15,EUR,6846091554,FO,PG13,EU01,172365780,2025-05-05,1,2025-09-26,Closed,CT-9771-CZL,122,1,47,282,177,282,281
EA,6,24,Comoros,8331.6,35978.58,2025-06-11,No,Road,Now,Hard,Once,Yes,Imagine,2025-06-23,698385083,Market,Grow,77,Suggest,JPY,Cover,492712319,Stephanie Jones,696728222,EA,2025-02-15,Standard,AP03,MAT-30703,EMP171177,87,2025-06-10,Released,857673070,2025-06-11,Cold Injection,Song,2025-06-11,USD,3020944938,NB,PG28,NA01,334298832,2025-06-23,2,2025-07-12,Open,CT-3228-ZKT,223,196,255,295,189,295,290
EA,9,39,Nauru,47010.24,33731.38,2025-09-24,Yes,Ground,Relationship,Stand,Matter,Yes,Future,2025-10-07,183819675,Shoulder,Find,22,Research,EUR,Perhaps,573545466,Taylor Murphy,891441003,EA,2026-08-08,Pay,US01,MAT-47140,EMP214048,81,2025-09-23,Released,484105891,2025-09-24,Side Capsule,Box,2025-09-24,EUR,9016782498,FO,PG91,NA01,976020605,2025-10-07,1,2025-01-26,Open,CT-8742-ECD,23,9,28,39,284,39,39
EA,2,7,Niger,26239.19,2790.26,2025-02-11,Yes,End,Can,Example,Final,No,Agree,2025-02-23,767716591,Practice,Expect,44,Popular,JPY,Office,543900035,Richard Williamson,350838987,EA,2025-12-02,Free,EU02,MAT-56157,EMP805353,71,2025-02-10,Pending,174220603,2025-02-11,Contain Solution,Follow,2025-02-11,GBP,5884240173,FO,PG89,EU01,438316609,2025-02-23,3,2024-02-05,Open,CT-7487-KNX,7,26,3,35,460,35,31
EA,8,33,Cambodia,47506.01,30580.74,2025-08-14,Yes,Order,Boy,Certainly,Exactly,Yes,Respond,2025-08-24,915063445,Create,Number,19,Common,EUR,Series,300423784,Michael Fernandez,761086828,EA,2024-04-16,Professor,LAT04,MAT-66331,EMP387775,74,2025-08-13,Pending,658189808,2025-08-14,Step Solution,Story,2025-08-14,GBP,8390859393,NB,PG28,EU01,692198471,2025-08-24,1,2024-03-14,Open,CT-8872-GKR,276,130,220,293,235,293,291
EA,12,50,Nicaragua,31944.96,9781.39,2024-12-14,No,Network,Kitchen,News,Guy,Yes,Party,2025-01-04,523114378,How,Far,31,Special,GBP,Analysis,289081973,Rebecca Castillo,546246935,EA,2024-04-09,Game,US01,MAT-81584,EMP979531,69,2024-12-13,Released,767278311,2024-12-14,Set Solution,Require,2024-12-14,USD,8881397829,NB,PG58,NA01,411176782,2025-01-04,5,2024-03-16,Closed,CT-5806-JWO,87,43,107,176,414,176,176
EA,5,21,Barbados,3080.57,31849.77,2025-05-25,Yes,Weight,Especially,Majority,Certain,No,Country,2025-06-21,328200265,Different,Right,74,About,GBP,Positive,203442759,Angela Flores,877313369,EA,2024-11-27,Establish,AP03,MAT-37872,EMP936148,65,2025-05-24,Released,301647447,2025-05-25,Effort Capsule,Same,2025-05-25,USD,1460027936,FO,PG16,NA01,423456265,2025-06-21,3,2025-01-20,Open,CT-1816-RCG,40,49,153,222,455,222,220
EA,10,40,Grenada,34585.57,11234.79,2025-10-04,No,Agree,Should,But,Raise,Yes,Join,2025-10-12,273234599,Particularly,Peace,53,American,EUR,Major,261222866,Lisa Calderon,995271046,EA,2025-02-07,Budget,AP03,MAT-96156,EMP244575,75,2025-10-03,Released,127403205,2025-10-04,Compare Tablet,Explain,2025-10-04,GBP,5265565167,FO,PG23,NA01,827056744,2025-10-12,4,2024-12-17,Open,CT-9781-BYC,53,18,165,253,482,253,250
EA,2,8,Russian Federation,15359.47,3230.83,2025-02-22,Yes,Rate,Situation,Floor,Home,Yes,Particularly,2025-03-19,759251488,Many,Our,70,Everyone,GBP,Past,478559389,Dawn Maxwell,817853945,EA,2024-11-22,Left,AP03,MAT-93657,EMP329450,76,2025-02-21,Released,149073926,2025-02-22,Dog Patch,Study,2025-02-22,EUR,9426657112,NB,PG21,NA01,195031947,2025-03-19,1,2023-12-16,Closed,CT-6910-RDE,142,38,123,240,138,240,238
EA,10,44,Grenada,40885.2,10496.81,2025-10-27,No,Choose,Almost,Discuss,Food,Yes,All,2025-11-26,255501891,Music,Store,25,Director,GBP,Response,433404960,Michael Diaz,162638245,EA,2024-01-03,Bad,AP03,MAT-98864,EMP648058,83,2025-10-26,Released,601735136,2025-10-27,Positive Injection,Customer,2025-10-27,USD,1863720875,FO,PG68,EU01,776345484,2025-11-26,2,2024-05-05,Open,CT-9781-BYC,11,25,48,106,320,106,101
EA,9,39,Puerto Rico,47169.79,25195.34,2025-09-27,Yes,Cover,Window,Outside,Appear,Yes,Radio,2025-10-04,597080198,One,Foot,59,Throw,USD,Water,202036829,Jared Brewer,807043409,EA,2024-01-28,The,EU02,MAT-32011,EMP411306,26,2025-09-26,Pending,632953762,2025-09-27,Offer Tablet,President,2025-09-27,GBP,7258895554,NB,PG73,EU01,286237410,2025-10-04,1,2025-04-06,Closed,CT-2004-PSX,7,12,3,29,466,29,27
EA,1,1,British Virgin Islands,17446.24,17667.54,2025-01-03,No,Lead,Experience,Herself,Carry,No,Service,2025-01-26,544059503,Work,Pm,56,Also,EUR,Understand,544797648,Rebecca Wade,775573481,EA,2024-06-13,Million,LAT04,MAT-22610,EMP887995,45,2025-01-02,Pending,754700499,2025-01-03,Us Solution,Board,2025-01-03,USD,8146824467,FO,PG60,EU01,715023972,2025-01-26,1,2025-11-10,Open,CT-9771-CZL,64,7,23,73,254,73,73
EA,1,2,Anguilla,43693.02,41106.92,2025-01-12,Yes,General,Add,Order,Pretty,Yes,Father,2025-02-06,634542722,System,Rest,22,Dog,USD,Build,460683350,Kayla Arnold,229495639,EA,2024-08-11,Mention,US01,MAT-74459,EMP670325,38,2025-01-11,Pending,683304899,2025-01-12,Memory Solution,Knowledge,2025-01-12,EUR,3209067314,NB,PG52,EU01,827787195,2025-02-06,5,2025-10-24,Open,CT-8015-GMQ,50,25,36,93,441,93,92
EA,4,14,Pitcairn Islands,21811.56,38230.98,2025-04-05,No,Yet,Every,Person,Factor,Yes,Some,2025-05-01,981278656,Image,Continue,72,Consumer,EUR,Hour,919041041,Walter Scott,357244133,EA,2024-11-18,War,EU02,MAT-54383,EMP213493,17,2025-04-04,Pending,233950318,2025-04-05,Agency Injection,Matter,2025-04-05,GBP,2376298338,FO,PG26,EU01,980276059,2025-05-01,2,2025-04-20,Closed,CT-3636-AVP,96,182,95,225,448,225,225
EA,11,45,Cuba,28064.73,12405.93,2025-11-04,Yes,Know,Treatment,Production,Quite,Yes,Risk,2025-12-03,681476311,Animal,Tree,49,Mouth,GBP,Bit,502827022,Gloria Jensen,171076771,EA,2023-11-29,List,EU02,MAT-56157,EMP815793,23,2025-11-03,Pending,143675163,2025-11-04,Contain Solution,How,2025-11-04,USD,2648451089,NB,PG17,EU01,461344231,2025-12-03,5,2025-08-25,Open,CT-7487-KNX,42,79,141,170,175,170,169
EA,7,28,British Virgin Islands,25582.94,15532.14,2025-07-11,No,Run,Woman,Account,Radio,Yes,Form,2025-07-26,562484588,Democrat,Operation,75,East,EUR,Various,416937529,David Martin,164249039,EA,2025-11-16,Teach,LAT04,MAT-22610,EMP574781,87,2025-07-10,Released,251062035,2025-07-11,Us Solution,Inside,2025-07-11,GBP,3082456723,NB,PG80,EU01,685741259,2025-07-26,2,2025-09-25,Open,CT-9771-CZL,22,20,61,65,312,65,64
EA,1,5,Belize,22069.61,11487.92,2025-01-29,Yes,Fire,Herself,Their,Us,No,Just,2025-02-14,137509353,Bring,Campaign,15,Full,USD,Beat,455078930,Dana Hutchinson,857609847,EA,2024-08-18,Land,US01,MAT-40706,EMP775818,90,2025-01-28,Released,394462770,2025-01-29,Keep Capsule,Could,2025-01-29,GBP,9869125077,NB,PG42,EU01,235768164,2025-02-14,2,2025-06-01,Closed,CT-3395-UCM,137,86,25,226,194,226,222
EA,7,27,Madagascar,49232.86,12667.98,2025-07-04,Yes,Quite,Prevent,Institution,Cost,Yes,Describe,2025-07-16,927447423,Design,Body,51,Management,EUR,Consider,224171738,David Miller,933979022,EA,2026-06-09,Leg,US01,MAT-52579,EMP413497,81,2025-07-03,Released,709150952,2025-07-04,Cell Tablet,Reduce,2025-07-04,USD,4140064217,NB,PG65,EU01,165393643,2025-07-16,4,2026-01-30,Open,CT-6551-IBW,35,141,39,154,163,154,150
